,magnitude,cdi,mmi,tsunami,sig,nst,dmin,gap,depth,latitude,longitude,day,evening,morning,night,Mi,mb,md,ml,ms,mw,mwb,mwc,mww,ak,at,ci,duputel,hv,nc,nn,official,pt,us,uw
67,6.5,0,3,1,650,97,1.61607,108.0,37.0,52.502,-168.08,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
68,6.5,0,3,1,650,23,0.0,208.8,37.0,52.502,-168.08,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
69,6.6,8,5,1,674,0,0.507,49.0,19.0,52.6252,-168.15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
70,6.7,0,4,1,691,50,0.936943,126.0,33.0,52.48,-167.736,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
71,6.7,0,4,1,691,20,0.0,205.2,33.0,52.48,-167.736,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72,6.8,7,6,1,730,0,0.92,61.0,20.0,52.6563,-167.917,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
73,6.6,6,6,0,976,0,1.168,21.0,21.0,35.1456,31.9095,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
74,6.6,9,8,0,1012,0,2.685,13.0,13.0,37.8167,101.299,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
75,7.3,8,7,0,921,0,3.713,19.0,165.49,-7.5924,127.581,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
76,7.3,9,5,1,854,0,1.025,32.0,14.27,-7.6033,122.2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
77,7.5,8,8,1,1094,0,4.951,40.0,126.0,-4.4898,-76.8461,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
78,6.6,7,4,1,688,0,3.259,15.0,12.0,23.5414,126.48,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
79,6.9,8,6,1,995,0,0.0,0.0,51.6,56.2581,-156.492,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
80,6.9,4,3,1,740,0,4.778,31.0,535.0,-21.1704,174.54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
81,7.3,4,4,1,826,0,4.493,32.0,527.0,-21.1036,174.895,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
82,6.5,7,5,1,684,0,0.993,114.0,21.0,12.1598,-87.8542,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
83,7.0,8,8,1,2504,0,0.07,43.0,20.0,16.9502,-99.7877,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
84,7.1,1,4,1,776,0,9.799,32.0,6.0,-60.3026,-24.9992,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
85,6.6,1,3,1,670,0,8.865,19.0,7.0,-60.1023,-24.4608,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
86,6.9,8,7,1,741,0,0.579,54.0,93.0,-14.892,167.085,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
87,6.9,6,4,1,734,0,8.363,48.0,16.7,-58.3814,-23.3318,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
88,7.2,9,8,1,2331,0,1.178,23.0,10.0,18.3521,-73.4804,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
89,6.9,5,4,1,738,0,0.0,0.0,33.3,55.2364,-157.707,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
90,6.9,5,4,1,738,0,1.173,36.0,20.74,55.2657,-157.68,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
91,8.1,0,7,0,1009,0,7.463,78.0,22.79,-58.4157,-25.3206,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
92,7.5,9,6,1,868,0,7.227,38.0,47.23,-57.5959,-25.1874,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
93,7.1,9,7,1,846,0,1.273,25.0,55.14,6.4547,126.742,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
94,8.2,8,6,1,1237,0,0.875,66.0,46.66,55.4742,-157.917,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
95,8.2,8,7,1,1252,0,0.0,0.0,35.0,55.3154,-157.829,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
96,6.7,8,5,1,935,0,8.139,12.0,110.0,13.6989,120.713,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
97,6.7,6,6,1,830,0,1.395,61.0,10.0,7.5904,-82.8813,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
98,6.5,0,4,1,650,0,7.994,24.0,25.0,-30.2144,-177.773,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
99,6.5,5,7,1,652,0,4.518,44.0,10.0,-16.4796,-177.356,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
100,7.3,9,9,0,1025,0,4.655,9.0,10.0,34.5861,98.2551,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
101,6.7,8,4,0,698,0,1.487,37.0,11.0,0.1684,96.6475,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
102,6.7,9,3,0,694,0,10.669,45.0,10.0,-17.2495,66.3745,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
103,6.9,7,6,1,919,0,2.619,35.0,43.0,38.2296,141.665,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
104,6.5,4,4,0,651,0,5.931,20.0,246.0,-21.6857,-177.064,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
105,6.5,6,4,0,652,0,10.405,19.0,301.0,-18.9204,-176.235,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
